3063.0,85,2
P-1,U2,0,0,0,99,53,55
P-2,U2,0,0,0,56,99,81
P-3,U1,0,0,0,42,101,51
P-4,U2,0,0,0,108,75,56
P-5,U2,0,0,0,88,58,64
P-6,U2,0,0,0,91,56,84
P-7,NONE,-1,-1,-1,-1,-1,-1
P-8,NONE,-1,-1,-1,-1,-1,-1
P-9,U2,0,0,0,73,71,88
P-10,U2,0,0,0,88,70,85
P-11,U2,0,0,0,55,80,81
P-12,U2,0,0,0,48,80,88
P-13,NONE,-1,-1,-1,-1,-1,-1
P-14,U2,0,0,0,45,46,81
P-15,U1,0,0,0,84,49,60
P-16,U1,0,0,0,48,93,63
P-17,U2,0,0,0,83,63,57
P-18,NONE,-1,-1,-1,-1,-1,-1
P-19,U1,0,0,0,51,87,69
P-20,U2,0,0,0,88,106,56
P-21,NONE,-1,-1,-1,-1,-1,-1
P-22,NONE,-1,-1,-1,-1,-1,-1
P-23,U2,0,0,0,51,50,110
P-24,NONE,-1,-1,-1,-1,-1,-1
P-25,U2,0,0,0,44,77,53
P-26,U2,0,0,0,69,56,73
P-27,U2,0,0,0,93,62,49
P-28,U2,0,0,0,81,64,95
P-29,U2,0,0,0,62,86,53
P-30,NONE,-1,-1,-1,-1,-1,-1
P-31,U1,0,0,0,71,49,76
P-32,U2,0,0,0,70,44,98
P-33,U2,0,0,0,90,89,73
P-34,U2,0,0,0,87,45,81
P-35,U1,0,0,0,83,72,63
P-36,U1,0,0,0,86,80,78
P-37,U2,0,0,0,59,76,51
P-38,NONE,-1,-1,-1,-1,-1,-1
P-39,U2,0,0,0,96,64,61
P-40,U1,0,0,0,70,45,90
P-41,U1,0,0,0,104,90,68
P-42,U2,0,0,0,62,109,41
P-43,U2,0,0,0,51,86,108
P-44,U1,0,0,0,84,40,49
P-45,U2,0,0,0,91,72,81
P-46,U2,0,0,0,71,62,94
P-47,NONE,-1,-1,-1,-1,-1,-1
P-48,U2,0,0,0,53,65,48
P-49,U2,0,0,0,69,40,100
P-50,U2,0,0,0,73,104,64
P-51,NONE,-1,-1,-1,-1,-1,-1
P-52,NONE,-1,-1,-1,-1,-1,-1
P-53,U2,0,0,0,44,53,106
P-54,U2,0,0,0,106,51,59
P-55,NONE,-1,-1,-1,-1,-1,-1
P-56,U2,0,0,0,65,68,109
P-57,U1,0,0,0,83,64,59
P-58,U1,0,0,0,95,102,55
P-59,U2,0,0,0,85,79,49
P-60,U2,0,0,0,60,85,87
P-61,U1,0,0,0,57,109,95
P-62,U2,0,0,0,43,92,88
P-63,U1,0,0,0,75,69,85
P-64,NONE,-1,-1,-1,-1,-1,-1
P-65,U1,0,0,0,50,78,110
P-66,U1,0,0,0,50,47,86
P-67,NONE,-1,-1,-1,-1,-1,-1
P-68,U2,0,0,0,92,46,81
P-69,U2,0,0,0,84,47,54
P-70,NONE,-1,-1,-1,-1,-1,-1
P-71,U2,0,0,0,99,43,60
P-72,NONE,-1,-1,-1,-1,-1,-1
P-73,U2,0,0,0,104,86,63
P-74,NONE,-1,-1,-1,-1,-1,-1
P-75,U1,0,0,0,74,43,85
P-76,U1,0,0,0,40,92,96
P-77,U1,0,0,0,96,50,65
P-78,U1,0,0,0,74,104,42
P-79,U1,0,0,0,86,62,75
P-80,U2,0,0,0,43,85,44
P-81,NONE,-1,-1,-1,-1,-1,-1
P-82,U1,0,0,0,66,71,97
P-83,NONE,-1,-1,-1,-1,-1,-1
P-84,U1,0,0,0,94,66,78
P-85,U1,0,0,0,47,68,44
P-86,U1,0,0,0,65,63,41
P-87,U1,0,0,0,54,53,107
P-88,NONE,-1,-1,-1,-1,-1,-1
P-89,NONE,-1,-1,-1,-1,-1,-1
P-90,NONE,-1,-1,-1,-1,-1,-1
P-91,NONE,-1,-1,-1,-1,-1,-1
P-92,U2,0,0,0,58,58,65
P-93,U2,0,0,0,88,68,92
P-94,U2,0,0,0,67,98,66
P-95,NONE,-1,-1,-1,-1,-1,-1
P-96,U2,0,0,0,50,65,84
P-97,U2,0,0,0,53,53,93
P-98,NONE,-1,-1,-1,-1,-1,-1
P-99,U2,0,0,0,71,70,68
P-100,NONE,-1,-1,-1,-1,-1,-1
P-101,NONE,-1,-1,-1,-1,-1,-1
P-102,U2,0,0,0,70,106,64
P-103,U1,0,0,0,44,78,102
P-104,NONE,-1,-1,-1,-1,-1,-1
P-105,U1,0,0,0,80,95,103
P-106,U2,0,0,0,90,54,92
P-107,NONE,-1,-1,-1,-1,-1,-1
P-108,U1,0,0,0,47,109,70
P-109,U2,0,0,0,98,79,44
P-110,NONE,-1,-1,-1,-1,-1,-1
P-111,NONE,-1,-1,-1,-1,-1,-1
P-112,U2,0,0,0,63,79,67
P-113,U1,0,0,0,55,86,75
P-114,NONE,-1,-1,-1,-1,-1,-1
P-115,NONE,-1,-1,-1,-1,-1,-1
P-116,NONE,-1,-1,-1,-1,-1,-1
P-117,U2,0,0,0,52,49,65
P-118,U2,0,0,0,90,82,75
P-119,U1,0,0,0,41,79,104
P-120,U1,0,0,0,48,91,74
